1000098,Gavarr,40.35398,45.12386,AM,21680,1953
1000099,Hrazdan,40.49748,44.7662,AM,40795,1762
1000100,Armavir,40.15446,44.03815,AM,25963,870
1000101,Gyumri,40.7942,43.84528,AM,148381,1549
1000102,Ashtarak,40.2991,44.36204,AM,18779,1142
1000103,Abovyan,40.27368,44.63348,AM,35673,1450
1000104,Saurimo,-9.66078,20.39155,AO,40498,1071
1000105,Lucapa,-8.41915,20.74466,AO,20115,955
1000106,Luau,-10.70727,22.22466,AO,18465,1106
1000107,Uige,-7.60874,15.06131,AO,60008,825
1000108,Soio,-6.1349,12.36894,AO,67491,10
1000109,N'zeto,-7.23116,12.8666,AO,18352,19
1000110,N'dalatando,-9.29782,14.91162,AO,383100,795
1000111,Mbanza Congo,-6.26703,14.2401,AO,24220,544
1000112,Malanje,-9.54015,16.34096,AO,87046,1134
1000113,Luanda,-8.83682,13.23432,AO,2776168,73
1000114,Caxito,-8.57848,13.66425,AO,28224,20
1000115,Cabinda,-5.55,12.2,AO,66020,1
1000116,Sumbe,-11.20605,13.84371,AO,33277,10
1000117,Namibe,-15.19611,12.15222,AO,80149,13
1000118,Menongue,-14.6585,17.69099,AO,32203,1355
1000119,Luena,-11.78333,19.91667,AO,21115,1337
1000120,Lubango,-14.91717,13.4925,AO,102541,1760
1000121,Longonjo,-12.90667,15.25333,AO,24346,1424
1000122,Lobito,-12.3644,13.53601,AO,207932,4
1000123,Cuito,-12.38333,16.93333,AO,113624,1715
1000124,Huambo,-12.77611,15.73917,AO,226145,1716
1000125,Catumbela,-12.43002,13.54677,AO,16977,12
1000126,Catabola,-12.15,17.28333,AO,18855,1531
1000127,Camacupa,-12.01667,17.48333,AO,19150,1473
1000128,Caluquembe,-13.78333,14.68333,AO,30300,1699
1000129,Caala,-12.8525,15.56056,AO,21205,1742
1000130,Benguela,-12.57626,13.40547,AO,151226,11
1000131,Zarate,-34.09814,-59.02858,AR,88781,28
1000132,Villa Ortuzar,-34.57973,-58.46829,AR,22500,26
1000133,Villa Ocampo,-28.48752,-59.35515,AR,19101,54
1000134,Villa Lugano,-34.67907,-58.47263,AR,114000,19
1000135,Villaguay,-31.8653,-59.02689,AR,32027,50
1000136,Villa Gesell,-37.26394,-56.97304,AR,23257,9
1000137,Tigre,-34.42603,-58.57962,AR,31106,8
1000138,Tandil,-37.32167,-59.13316,AR,104325,192
1000139,San Vicente,-26.61667,-54.13333,AR,38247,603
1000140,Santo Tome,-28.54939,-56.04077,AR,22634,81
1000141,Santa Elena,-30.94768,-59.78696,AR,18410,66
1000142,San Pedro,-26.62207,-54.10842,AR,23736,554
1000143,San Luis del Palmar,-27.5079,-58.55454,AR,15347,62
1000144,San Lorenzo,-28.13306,-58.76733,AR,47626,64
1000145,San Javier,-30.57781,-59.9317,AR,15606,27
1000146,San Isidro,-34.4721,-58.52708,AR,45190,12
1000147,Saladas,-28.25384,-58.62591,AR,18349,75
